	MSG	iNP-MSG	Qcut	iNP-Qcut	SC	iNP-SC
A	0.898	0.898	0.998004049	1	1	0.998004049
A	0.618	0.618	0.618	0.618	0.618	0.618
A	0.481	0.481	0.822	0.822	0.822	0.822
A	0.723099078	0.723099078	0.784876321	0.829722428	0.829722428	0.784876321
A	0.616	0.756	0.756	0.756	0.756	0.756
A	0.69	0.998011364	0.69	0.998011364	0.69	0.986556818
A	0.682	0.682	0.998006329	0.939	0.939	0.998006329
A	0.998002793	0.998002793	0.998002793	0.998002793	0.998002793	0.998002793
A	0.886	1	1	1	1	1
A	0.727	0.988214991	0.858448387	0.86	0.86	0.858448387
A	0.782	0.998010101	0.899458716	0.901	0.901	0.899458716
A	0.678	0.678	0.992111888	1	1	0.992111888
A	0.825	0.825	1	1	1	1
A	0.948	0.948	1	1	1	1
A	0.784	0.94137593	0.901777778	0.996032258	0.90487037	0.951629032
A	0.802	0.802	0.857	0.857	0.857	0.857
A	0.619	0.619	0.674	0.674	0.674	0.674
A	0.861408284	0.861408284	0.856668639	0.861408284	0.861408284	0.856668639
B	0.597	0.90402435	0.83952901	0.944237963	0.841	0.943802448
B	0.384495789	0.647653187	0.51214941	0.553786164	0.432811421	0.585821095
B	0.500074074	0.798368025	0.68639798	0.833805705	0.678153957	0.834615975
B	0.427943813	0.702380125	0.649925299	0.716405341	0.643730246	0.685802327
B	0.404270588	0.785433393	0.558013068	0.681111521	0.537432432	0.67805872
B	0.461581818	0.816633891	0.707483545	0.788045995	0.6396	0.763297594
B	0.429515723	0.712054919	0.619926752	0.742427334	0.669148304	0.694497943
B	0.480965283	0.675408435	0.624544299	0.618900588	0.53516538	0.68870385
B	0.445285699	0.807884272	0.640320024	0.730110383	0.581789841	0.78124015
B	0.449	0.849806544	0.72217742	0.804865105	0.630206522	0.767252855
B	0.483435609	0.733329294	0.619108692	0.678322571	0.541699383	0.737343936
B	0.523781818	0.746571462	0.604329116	0.706430852	0.611411507	0.67985777
B	0.420268505	0.716869786	0.60255776	0.639168269	0.611924243	0.666579663
B	0.446496848	0.764295011	0.670497302	0.71900003	0.567866294	0.773382709
B	0.45475641	0.873098485	0.757649884	0.778431987	0.688666206	0.862720574
B	0.487712329	0.701713886	0.649338669	0.6525003	0.51575	0.679750454
B	0.518550884	0.751802944	0.638017966	0.682214575	0.596789725	0.756501781
B	0.487492575	0.735557483	0.64805284	0.697609354	0.579061748	0.742497785
B	0.521231707	0.821160991	0.63370451	0.76174624	0.641120238	0.748411658
B	0.524898551	0.627763038	0.626126148	0.627705191	0.60164	0.598034829
B	0.541637225	0.67466643	0.641272108	0.63985369	0.526605083	0.691147009
B	0.447299107	0.795792132	0.653364106	0.668205849	0.709859563	0.745601508
B	0.488006942	0.745567675	0.580250395	0.760979635	0.582130964	0.60104007
B	0.560494834	0.844068054	0.777326243	0.822587412	0.669058622	0.803186863
B	0.50457423	0.699695948	0.646743815	0.724476913	0.571512195	0.713996922
B	0.449250412	0.558955788	0.516109093	0.539049065	0.552106868	0.60370438
B	0.464710306	0.809152368	0.663706561	0.731264283	0.604723764	0.711013608
B	0.442599743	0.720529124	0.543923182	0.713717414	0.55599001	0.581980393
B	0.57998664	0.792107311	0.704527989	0.799272596	0.662136364	0.712111691
B	0.553032841	0.678561809	0.629427861	0.631755552	0.486466667	0.614257149
B	0.507339876	0.796960068	0.676109484	0.866973874	0.642752212	0.833042249
B	0.444798035	0.707893821	0.662240151	0.649734844	0.506693545	0.673425876
B	0.55215404	0.79089815	0.667509737	0.802687167	0.602465398	0.755725975
B	0.615295359	0.798644572	0.758914146	0.789499031	0.674971945	0.798344867
B	0.526746575	0.705342624	0.636974161	0.723558485	0.606186047	0.712774338
B	0.558219272	0.794878606	0.693382217	0.733449853	0.683224658	0.711587974
B	0.548357157	0.740263801	0.642134145	0.713642014	0.662168262	0.699602055
B	0.749	0.994147541	0.990204208	0.996065574	0.996065574	0.990204208
B	0.660652431	0.946439777	0.83965683	0.910897535	0.840486898	0.917474669
B	0.687502762	0.956010989	0.909095238	NA	0.863	0.946667676
B	0.724	0.986503855	0.941312562	0.971077444	0.902022222	0.954946037
B	0.680065564	0.947620145	0.932578301	0.963558147	0.905574194	0.950170553
B	0.767	0.988326471	0.8640625	0.992186147	0.815	0.94938557
B	0.654	0.984423205	0.898200354	0.891322173	0.802	0.933667792
B	0.582749439	0.980873868	0.9045651	0.968065053	0.85609331	0.918886293
B	0.809655076	0.940727123	0.922762214	0.956263521	0.91802439	0.910744281
B	0.686633894	0.879416247	0.824523249	0.920130515	0.817104354	0.93050007
B	0.6935	0.984574474	0.858743879	0.961	0.961	0.873353288
B	0.816523316	0.889665684	0.955147643	0.910032258	0.910032258	0.922639319
B	0.7925	0.959401663	0.958040816	0.96	0.96	0.958040816
B	0.759	0.893288593	0.914794699	0.879665958	0.918405128	0.879370758
B	0.614611876	0.9276118	0.864835412	0.972048412	0.81	0.945464484
B	0.661495327	0.949407043	0.851544097	0.934454846	0.890526807	0.88618067
B	0.843	0.940886773	0.929501561	0.935	0.935	0.912948485
B	0.626	0.923144428	0.798861367	0.912452182	0.870444242	0.897359188
B	0.623	0.914541158	0.877099549	0.943209595	0.85	0.91033207
B	0.637063063	0.943290473	0.748947431	0.901516949	0.759620915	0.899726746
B	0.702426882	0.830352634	0.912	0.894228865	0.818	0.874183844
B	0.775	0.940560465	0.858	0.984283333	0.858	0.965133919
B	0.625971429	0.894581459	0.85443629	0.8632	0.8632	0.85443629
B	0.748703518	0.888194623	0.906823828	0.967137536	0.871062037	0.928708335
B	0.637921311	0.986356457	0.918241644	0.96530102	0.955507624	0.91683847
B	0.669	0.981136824	0.890328865	0.968571429	0.926	0.952842263
B	0.576	0.912376154	0.797647887	0.900371204	0.803	0.860779277
B	0.77347191	0.880950238	0.938493698	0.956314918	0.9465	0.947187437
B	0.699398798	0.91682012	0.890288269	0.951941721	0.833266667	0.884085983
B	0.657678413	0.850415598	0.867794428	0.908953428	0.897293301	0.869986923
B	0.692018868	0.925057106	0.866086338	0.976050663	0.867467147	0.962424171
B	0.727527273	0.926207222	0.848679855	0.896593522	0.881954545	0.849724188
B	0.614534091	0.767124487	0.890321883	0.82639351	0.828	0.887918782
B	0.687572521	0.832092835	0.826079431	0.770727179	0.742938941	0.823916641
B	0.697	0.941361881	0.893285714	0.994321429	0.819	0.880909417
B	0.624087548	0.912227699	0.891231675	0.989012821	0.898558153	0.975301275
B	0.783	0.9864173	0.843220588	0.996037338	0.849	0.982486553
B	0.723	0.941342466	0.949362832	0.962082192	0.947836066	0.944530218
B	0.654563784	0.92110157	0.932	0.998014706	0.932	0.957093023
B	0.634	0.992167601	0.843016949	0.996030107	0.843016949	0.994055107
B	0.797891892	0.996047619	0.927464516	1	0.929	0.970154762
B	0.708	1	0.78	1	0.78	0.998012821
B	0.69	0.941625427	0.857103448	0.907941159	0.864275862	0.90162602
B	0.733	0.941041806	0.926041806	1	0.93	0.996041806
B	0.864	1	1	1	1	1
B	0.674	0.996058824	0.932025942	0.943544118	0.934014706	0.946643589
B	0.591	0.949057143	0.912850997	0.998014286	0.873	0.983027468
B	0.752	0.943971014	0.866	0.944522631	0.866	0.937496321
B	0.725	0.99602837	0.928014085	0.928014085	0.928014085	0.928014085
B	0.66	0.994111111	0.998012346	1	1	0.998012346
B	0.788	0.996090909	0.959022727	0.998022727	0.959022727	0.966760233
B	0.684	0.980800105	0.976810737	0.940074074	0.940074074	0.976810737
B	0.721316901	0.994090909	0.996040404	0.998010101	0.998010101	0.996040404
B	0.866	1	1	1	1	1
B	0.67	0.952	1	1	1	1
B	0.801	1	1	1	1	1
B	0.853	0.927	0.996040967	1	1	0.996040967
B	0.694	0.996056338	0.988186319	0.996056338	0.996056338	0.988186319
B	0.726	0.992091449	0.835696518	0.960851714	0.85006682	0.971325281
B	0.761	0.998012048	0.837	0.998012048	0.837	0.994108434
B	0.764625984	0.996020943	0.994052193	1	1	0.994052193
B	0.729643293	0.998008475	0.998008475	1	1	0.998008475
B	0.765	0.989125	0.98465812	0.968	0.968	0.98465812
B	0.537	0.913709821	0.914265977	0.938160714	0.920017857	0.928313987
B	0.757	0.973	1	1	1	1
B	0.665	0.974013514	0.972063514	0.996166667	0.996166667	0.972063514
B	0.646	0.992090943	0.982298317	1	1	0.982298317
B	0.786	0.953	0.937927273	0.988016393	0.939459459	0.957606557
B	0.723	0.844617305	0.897589341	0.854	0.909194245	0.897589341
B	0.661	0.956	0.934485075	1	0.936	0.998014286
B	0.682	0.875	0.924	0.863258278	0.924	0.87024183
B	0.852	0.9	0.979375	0.9946	0.9946	0.979375
B	0.812	0.909	0.998010989	1	1	0.998010989
B	0.72	1	0.815	1	0.815	1
B	0.711	1	1	1	1	1
B	0.825	1	1	1	1	1
B	0.779	1	1	1	1	1
B	0.911	1	1	1	1	1
B	0.671	0.996021804	0.984522989	1	1	0.984522989
B	0.811	1	1	1	1	1
B	0.815	1	0.917	1	0.917	1
B	0.855	0.933	0.897014925	0.897014925	0.897014925	0.897014925
B	0.654	1	0.994052006	1	1	0.994052006
B	0.709	1	0.998007752	1	1	0.998007752
B	0.817	0.91	0.998010753	0.998010753	0.998010753	0.998010753
B	0.699	1	1	0.998008403	0.998008403	1
B	0.86	0.921	1	1	1	1
B	0.741	0.928009709	0.914	1	0.914	1
B	0.813	0.903	1	1	1	1
B	0.704743655	0.901427882	0.952913506	0.921132411	0.97722332	0.91379987
B	0.739	0.998009709	0.806	1	0.806	1
B	0.834	1	1	1	1	1
B	0.772	1	1	1	1	1
B	0.753	1	0.836045977	1	0.753	0.994069787
B	0.793	1	1	1	1	1
B	0.707	0.936	0.994090669	1	1	0.994090669
B	0.696508361	0.958006757	0.992072345	0.998010101	0.998010101	0.992072345
B	0.782565104	0.782565104	0.99602381	0.998005952	0.998005952	0.99602381
B	0.715	1	1	1	1	1
B	0.743	0.998083333	0.99475	0.998083333	0.998083333	0.99475
B	0.632	0.94	0.89901087	1	0.901	0.99801087
B	0.747	0.747	0.996065574	1	1	0.996065574
B	0.697	1	0.98818698	1	1	0.98818698
B	0.72	0.959	0.987195122	0.959	0.959	0.987195122
B	0.72	0.994051724	0.793	0.986281609	0.793	0.906093983
B	0.71	0.781	0.963	0.963	0.963	0.963
B	0.82	0.972	0.994078725	1	1	0.994078725
B	0.862345588	0.955005587	0.985	1	1	0.985
B	0.761	1	1	1	1	1
B	0.629	0.998007576	0.739	0.739	0.739	0.739
B	0.762	1	0.998006897	1	1	0.998006897
B	0.88	1	1	1	1	1
B	0.657	1	0.998008403	1	1	0.998008403
B	0.879	1	1	1	1	1
B	0.879	0.879	0.879	0.879	0.879	0.879
B	0.873	1	1	1	1	1
B	0.777	1	1	1	1	1
B	0.693	0.693	0.866009615	0.866009615	0.866009615	0.866009615
B	0.772	1	1	1	1	1
B	0.778	1	0.893	1	0.893	1
B	0.798	1	1	1	1	1
B	0.81	0.901	1	1	1	1
B	0.716	1	1	1	1	1
B	0.846	0.846	0.936307317	0.936307317	0.936307317	0.936307317
B	0.87	0.87	1	1	1	1
B	0.754	1	0.998005587	1	1	0.998005587
B	0.824379679	0.998008547	0.992080836	0.996020595	0.996020595	0.992080836
B	0.888	1	1	1	1	1
B	0.773	0.998009009	0.998009009	1	1	0.998009009
B	0.755	0.755	0.885465306	0.887	0.887	0.885465306
B	0.816	0.932	0.998006329	1	1	0.998006329
B	0.798	0.992198758	1	1	1	1
B	0.508	1	1	1	1	1
B	0.918	1	1	1	1	1
B	0.86	1	1	1	1	1
B	0.678	1	0.901	0.901	0.901	0.901
B	0.851	1	0.998011236	1	1	0.998011236
B	0.855	0.855	0.886	0.886	0.886	0.886
B	0.908	0.908	1	1	1	1
B	0.815	0.815	1	1	1	1
B	0.806	0.806	1	1	1	1
B	0.792	0.964	0.964	0.964	0.964	0.964
B	0.856	0.856	1	1	1	1
B	0.68	0.984952209	0.944132075	0.946047619	0.86047644	0.944132075
B	0.751	1	0.862003663	0.865	0.865	0.862003663
B	0.707	1	0.86	0.86	0.86	0.86
B	0.731	1	1	1	1	1
B	0.869	1	1	1	1	1
B	0.726	1	1	1	1	1
B	0.576	0.576	0.998008264	1	1	0.998008264
B	0.868	1	1	1	1	1
B	0.776	0.776	1	1	1	1
B	0.856	0.856	1	1	1	1
B	0.872	1	0.872	1	0.872	1
B	0.686	0.686	0.855	0.855	0.855	0.855
B	0.873	0.873	0.873	0.873	0.873	0.873
B	0.754	1	0.998007576	1	1	0.998007576
B	0.888	1	1	1	1	1
B	0.752	0.893	1	1	1	1
B	0.753	0.753	0.992137931	0.996034483	0.996034483	0.992137931
B	0.857	0.857	0.857	0.857	0.857	0.857
B	0.717	1	1	1	1	1
B	0.644	0.644	0.985827915	0.984392015	0.984392015	0.985827915
B	0.674	0.674	0.998006897	1	1	0.998006897
B	0.572	0.572	0.572	0.572	0.572	0.572
B	0.868	0.868	0.998007576	1	1	0.998007576
B	0.7	0.7	0.7	0.7	0.7	0.7
B	0.874	0.874	1	1	1	1
B	0.883	1	1	1	1	1
B	0.884	0.884	1	1	1	1
B	0.734	0.734	0.998005	1	1	0.998005
B	0.911	0.911	1	1	1	1
B	0.704	0.704	0.907	0.932948148	0.907	0.92667841
B	0.702	0.702	1	1	1	1
B	0.796	0.796	1	1	1	1
B	0.736	1	1	1	1	1
B	0.651	0.94	1	1	1	1
B	0.548	0.93	0.718	1	0.718	1
B	1	1	1	1	1	1
C	0.736	1	1	1	1	1
C	0.5	0.980534702	0.88860795	0.970303158	0.868979158	0.942318023
C	0.525000164	0.964081086	0.822356001	0.926295428	0.808526964	0.882791524
C	0.523	0.92226305	0.766512589	0.879595707	0.73	0.933507912
C	0.555075223	0.952237143	0.8676611	0.94808664	0.787	0.919652587
C	0.513489362	0.978948138	0.876638087	0.986441081	0.862133803	0.959030723
C	0.527479167	0.978541465	0.868755366	0.984852389	0.766038462	0.971038942
C	0.529016767	0.986509406	0.860877381	0.958806162	0.823529412	0.914119907
C	0.577176471	0.976905684	0.805546286	0.925196535	0.813856226	0.902975059
C	0.568	0.934363795	0.803020358	0.949176899	0.81208	0.937542578
